Horodateur,Q1. Êtes-vous actuellement étudiant(e) dans l'enseignement supérieur ?,Q2. En quelle année êtes-vous ?,Q3. Quel est votre genre ?,Q4. Dans quel type de commune avez-vous fait votre lycée ?,Q5. Quel est le niveau d'études le plus élevé de vos parents ?,Q6. Quel bac avez-vous obtenu ?,Q7. Quelle mention avez-vous obtenu au bac ?,Q8. Dans quelle filière êtes-vous actuellement inscrit(e) ?,Q9. Combien de fois avez-vous rencontré un conseiller d'orientation (PsyEN) au lycée ?,Q10. Qu'est-ce qui a principalement motivé vos premiers choix de formation ?,"Q11. Avez-vous utilisé une IA (ChatGPT, Gemini, Claude…) pour vous aider à choisir votre formation ?",Q12. Avez-vous utilisé une IA pour explorer des métiers ou des débouchés professionnels ?,"Q13. Avant de choisir votre formation, dans quelle mesure vous sentiez-vous bien informé(e) sur son contenu et ses débouchés professionnels ?",Q14. Dans quelle mesure les conseils reçus vous ont-ils semblé adaptés à votre profil et vos aspirations ?,"Q15. Aujourd'hui, vous sentez-vous bien préparé(e) à entrer sur le marché du travail à l'issue de votre formation ?",Q16. Avez-vous changé de formation ou de filière depuis votre entrée dans le supérieur ?,Q16.1 En quelle année vous êtes-vous réorienté(e) ?,Q16.2 Quelle est la raison principale de votre réorientation ?,Q16.3 À quel point estimez-vous que de meilleurs conseils d'orientation auraient pu éviter cette réorientation ?
17/04/2026 21:43:18,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,2 à 3 fois,Journées portes ouvertes / salons,Non,Non,3,3,4,"Non, je suis toujours dans ma formation initiale",,,
17/04/2026 21:47:20,Non,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,École de commerce / management,2 à 3 fois,Journées portes ouvertes / salons,Non,Non,3,3,4,"Non, je suis toujours dans ma formation initiale",,,
17/04/2026 23:19:29,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,2 à 3 fois,Conseiller d'orientation (PsyEN),Non,Non,3,4,2,"Non, je suis toujours dans ma formation initiale",,,
17/04/2026 23:59:33,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,"Internet (hors IA) — forums, sites officiels",Non,Non,2,3,3,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 04:47:57,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,2,2,4,"Oui, une fois",Master 1,Inadéquation avec mes aspirations profondes,3
18/04/2026 09:53:02,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,4,3,3,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 10:24:43,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Économie / Gestion / Commerce,Jamais,Journées portes ouvertes / salons,Non,Non,4,4,4,"Oui, une fois",2025,Autre,2
18/04/2026 10:35:08,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 11:24:40,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,4,4,5,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 11:45:36,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Aucune source structurée / au hasard,Non,Non,1,1,1,"Non, je suis toujours dans ma formation initiale",,,
